,timestamp,tick,secondsPerLiquidity,initialized
0,1625510907,-421077019517,53037335994064123400199,True
1,1625509862,-420996456287,53037122716359624532504,True
2,1625509739,-420986973725,53037097611491151694128,True
3,1625509729,-420986202835,53037095570444934390195,True
4,1625509684,-420982734235,53037086385736956522497,True
5,1625509500,-420968553171,53037048830486558130130,True
6,1625508427,-420885860280,53036829826227441418118,True
7,1625508143,-420863973252,53036771856928368472294,True
8,1625508126,-420862663283,53036768386935114105819,True
9,1625508052,-420856962027,53036753282258595098809,True
10,1625508045,-420856422775,53036752495438390793749,True
11,1625507922,-420846948331,53036738669883372290539,True
12,1625507886,-420844177411,53036734580089542030291,True
13,1625507858,-420842022615,53036731399138785161209,True
14,1625507831,-420839945073,53036728331793412466023,True
15,1625507735,-420832560465,53036717425676531772027,True
16,1625507727,-420831945153,53036716466730722241722,True
17,1625507711,-420830714737,53036714548839103181112,True
18,1625507698,-420829715206,53036712990552162694367,True
19,1625507640,-420825256804,53036706038195043599655,True
20,1625507598,-420822028642,53036701003729543565553,True
21,1625507587,-420821183435,53036699628244260203284,True
22,1625507475,-420812578699,53036685623303193241993,True
23,1625507396,-420806510788,53036675744817976367511,True
24,1625507321,-420800748913,53036666366509226170218,True
25,1625507080,-420782233365,53036636230877108869582,True
26,1625507017,-420777392823,53036628353097758703856,True
27,1625506933,-420770936919,53036617849391958482888,True
28,1625506845,-420764173415,53036606845509691584731,True
29,1625506715,-420754181355,53036590669144289953126,True
30,1625506702,-420753182123,53036589051507749789966,True
31,1625506567,-420742804673,53036572252974448095607,True
32,1625506542,-420740882273,53036569142134947781837,True
33,1625506503,-420737883134,53036564289225327292356,True
34,1625506486,-420736575358,53036562288359362946855,True
35,1625506440,-420733036532,53036556874251459423733,True
36,1625506428,-420732113120,53036555461875484591615,True
37,1625506365,-420727264829,53036548046901616722992,True
38,1625506360,-420726879859,53036547464862657180843,True
39,1625506301,-420722336918,53036540596802934583480,True
40,1625506301,-420722336918,53036540596802934583480,True
41,1625505880,-420689916550,53036491589122541134498,True
42,1625505877,-420689685505,53036491239899165409209,True
43,1625505374,-420650945954,53036432686779835468976,True
44,1625503614,-420515396034,53036227810017326472407,True
45,1625501943,-420386700627,53036013198541989358886,True
46,1625501720,-420369525836,53035982799292551032488,True
47,1625501711,-420368832773,53035981572417013162813,True
48,1625500820,-420300223991,53035860111738764064960,True
49,1625500786,-420297605549,53035855476875621001743,True
50,1625500473,-420273500480,53035812808811663934692,True
51,1625500091,-420244081514,53035760727489249834995,True
52,1625499986,-420235995884,53035746411942512975131,True
53,1625499974,-420235071980,53035744775880028762576,True
54,1625499513,-420199568987,53035681923812926930219,True
55,1625499509,-420199260919,53035681378458765526034,True
56,1625499340,-420186243863,53035658337245446199205,True
57,1625498597,-420129013545,53035557037709965371784,True
58,1625497394,-420036318786,53035210966021825634732,True
59,1625497153,-420017749013,53035141636614642196138,True
60,1625497024,-420007809563,53035104526682996289173,True
61,1625496143,-419939930275,53034851085987026955555,True
62,1625495415,-419883847339,53034751831529651393829,True
63,1625495378,-419880996822,53034741187595768459273,True
64,1625493717,-419752975247,53034263361266591316095,True
65,1625492807,-419682836997,53034001565224203629324,True
66,1625490786,-419527088632,53033420147859736030462,True
67,1625490785,-419527011567,53033419859932098540600,True
68,1625490772,-419526009930,53033416116872811172388,True
69,1625490590,-419511989742,53033350100698599296307,True
70,1625490469,-419502669596,53033306210824535356715,True
71,1625490106,-419474713151,53033174541202343537938,True
72,1625488768,-419371667081,53032688222568128970998,True
73,1625488548,-419354723781,53032608217269041924726,True
74,1625488263,-419332777356,53032504574040679160238,True
75,1625487847,-419300743276,53032353573011069476381,True
76,1625487286,-419257543471,53032150061666912106443,True
77,1625486639,-419207741293,53031907276998453600194,True
78,1625486624,-419206586728,53031901648296711903759,True
79,1625486586,-419203662666,53031887388918966272790,True
80,1625486586,-419203662666,53031887388918966272790,True
81,1625486555,-419201277247,53031875862355254865273,True
82,1625486178,-419172270867,53031735684467538715781,True
83,1625486126,-419168270039,53031716349586474419300,True
84,1625486101,-419166345064,53031707360434703792086,True
85,1625485807,-419143697068,53031601648009881216046,True
86,1625485793,-419142618886,53031596614084889664806,True
87,1625485571,-419125514452,53031533136994545195673,True
88,1625484972,-419079351918,53031361863223750884812,True
89,1625484870,-419071487208,53031332673990820555798,True
90,1625484828,-419068248504,53031320654894908067381,True
91,1625484710,-419059148816,53031286886958772980875,True
92,1625484665,-419055678236,53031274009356009600428,True
93,1625484488,-419042018792,53031210627689012376999,True
94,1625484434,-419037851018,53031191290909250512224,True
95,1625484369,-419032834253,53031167965355604239726,True
96,1625484362,-419032294049,53031165453372903871919,True
97,1625484263,-419024646497,53031129849451466919986,True
98,1625484140,-419015134169,53031085616655401781289,True
99,1625483737,-418983958089,53030955661221513363553,True
100,1625483726,-418983107107,53030952114050861322375,True
101,1625483706,-418981559827,53030945664649675792959,True
102,1625483624,-418975213191,53030919222104815122353,True
103,1625483524,-418967472291,53030887645919511286916,True
104,1625482929,-418921413936,53030699747868829880191,True
