,alpha=0.05
t=3600,0.06550883150365394
t=7200,0.06185111908355772
t=10800,0.05939676768334615
t=14400,0.057505771708186985
t=18000,0.055950915485689805
t=21600,0.05462245363099188
t=25200,0.05345817807187836
t=28800,0.05241910207582426
t=32400,0.05147903455779637
t=36000,0.05061945777505999
t=39600,0.04982675483529334
t=43200,0.04909059574580547
t=46800,0.04840294284805307
t=50400,0.04775740919249878
t=54000,0.04714882868358749
t=57600,0.04657295883795377
t=61200,0.046026269629991914
t=64800,0.04550578996752365
t=68400,0.045008993787019724
t=72000,0.04453371402700434
t=75600,0.044078076623895346
t=79200,0.043640449152379385
t=82800,0.04321940035272348
t=86400,0.04281366787107258
t=90000,0.042422132278220004
t=93600,0.04204379594621728
t=97200,0.041677765725355934
t=100800,0.041323238624129316
t=104400,0.040979489884704894
t=108000,0.04064586298535631
t=111600,0.040321761205571655
t=115200,0.040006640467740384
t=118800,0.039700003228897454
t=122400,0.039401393241779416
t=126000,0.03911039103988884
t=129600,0.038826610028958555
t=133200,0.03854969308902492
t=136800,0.03827930960857524
t=140400,0.03801515288607104
t=144000,0.03775693784519905
t=147600,0.03750439901918609
t=151200,0.037257288766788056
t=154800,0.03701537568850815
t=158400,0.036778443216509485
t=162000,0.03654628835569989
t=165600,0.03631872055683162
t=169200,0.03609556070523691
t=172800,0.03587664021116104
t=176400,0.035661800189605575
t=180000,0.03545089071925333
t=183600,0.0352437701714362
t=187200,0.035040304601307186
t=190800,0.03484036719437119
t=194400,0.03464383776241289
t=198000,0.034450602283583855
t=201600,0.03426055248206655
t=205200,0.03407358544326207
t=208800,0.03388960326094736
t=212400,0.033708512713076504
t=216000,0.033530224964426196
t=219600,0.033354655291086714
t=223200,0.03318172282800135
t=226800,0.03301135033497983
t=230400,0.032843463980568914
t=234000,0.03267799314152425
t=237600,0.03251487021775412
t=241200,0.032354030459712094
t=244800,0.032195411808447504
t=248400,0.03203895474673081
t=252000,0.031884602160423305
t=255600,0.03173229920924577
t=259200,0.03158199320619472
t=262800,0.03143363350490996
t=266400,0.03128717139437331
t=270000,0.031142560000368504
t=273600,0.030999754193183605
t=277200,0.030858710501087905
t=280800,0.030719387029147706
t=284400,0.03058174338299412
t=288000,0.030445740597176463
t=291600,0.030311341067777643
t=295200,0.03017850848898661
t=298800,0.030047207793349143
t=302400,0.029917405095446627
t=306000,0.02978906763876459
t=309600,0.029662163745536364
t=313200,0.029536662769367106
t=316800,0.02941253505043602
t=320400,0.02928975187315032
t=324000,0.029168285426038755
t=327600,0.0290481087637807
t=331200,0.02892919577122112
t=334800,0.028811521129248664
t=338400,0.028695060282422736
t=342000,0.028579789408242462
t=345600,0.028465685387956165
t=349200,0.02835272577882224
t=352800,0.02824088878773249
t=356400,0.028130153246119796
t=360000,0.028020498586073583
t=363600,0.027911904817595947
t=367200,0.027804352506930575
t=370800,0.027697822755907122
t=374400,0.02759229718224067
t=378000,0.0274877579007369
t=381600,0.027384187505350967
t=385200,0.02728156905205367
t=388800,0.02717988604246371
t=392400,0.02707912240820154
t=396000,0.026979262495931158
t=399600,0.026880291053048913
t=403200,0.026782193213990047
t=406800,0.02668495448711812
t=410400,0.02658856074216939
t=414000,0.026492998198223084
t=417600,0.026398253412171703
t=421200,0.026304313267666725
t=424800,0.026211164964515102
t=428400,0.02611879600850611
t=432000,0.026027194201646422
t=435600,0.025936347632784365
t=439200,0.025846244668605148
t=442800,0.02575687394497841
t=446400,0.025668224358642324
t=450000,0.025580285059209253
