,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
n=86400,1.5648106715107364e-06,8.916854119237581e-07,6.322392863163929e-07,5.237407187818399e-07,4.544951525631174e-07
n=172800,1.2299279307141917e-06,6.962654956702746e-07,4.784017945773416e-07,4.0218724513565835e-07,3.5269642232357015e-07
n=259200,1.0671954459986445e-06,6.013033950281463e-07,4.0121945079204823e-07,3.409691461779087e-07,3.0131951455107364e-07
n=345600,9.644285509742046e-07,5.413340518140419e-07,3.55702195214838e-07,3.013673886953519e-07,2.6798592839487035e-07
n=432000,8.912634443521453e-07,4.98638752036122e-07,3.263754616223069e-07,2.726754989364803e-07,2.4375743489918685e-07
n=518400,8.354121267393795e-07,4.660468669345749e-07,3.0398860553690404e-07,2.5048393761741824e-07,2.2495632197347725e-07
n=604800,7.907798550217673e-07,4.400018256747225e-07,2.860986740829229e-07,2.3257184207273939e-07,2.0973127666503003e-07
n=691200,7.539371996592406e-07,4.1850239393818194e-07,2.713310507096727e-07,2.1767232258232578e-07,1.970264209623593e-07
n=777600,7.227796412044123e-07,4.00320485102203e-07,2.588421819252877e-07,2.0499822811255967e-07,1.8618566817736297e-07
n=864000,6.959309543073274e-07,3.846530065917684e-07,2.4808043600168044e-07,1.9402895009202698e-07,1.7677497647518486e-07
n=950400,6.724462558026479e-07,3.70948574395276e-07,2.386670758858374e-07,1.844033198874766e-07,1.684931012386889e-07
n=1036800,6.516513054111797e-07,3.588137374241915e-07,2.3033184617926835e-07,1.7586114180010158e-07,1.6112289392267475e-07
n=1123200,6.330496788391638e-07,3.4795880862661795e-07,2.2287576537720896e-07,1.690966572788149e-07,1.5450294565288956e-07
n=1209600,6.1626626159188e-07,3.3816489095528816e-07,2.1614847652180196e-07,1.63687856991521e-07,1.4851019394081435e-07
n=1296000,6.010113374436403e-07,3.2926292129148456e-07,2.100338528012261e-07,1.5877164494125932e-07,1.4304878748369223e-07
n=1382400,5.870569266364306e-07,3.211198626649775e-07,2.0444051320154877e-07,1.5427454997716386e-07,1.380426974106996e-07
n=1468800,5.742207093511241e-07,3.136293228391879e-07,1.9929537855961384e-07,1.5013781579975512e-07,1.3343066294461632e-07
n=1555200,5.623548102350502e-07,3.0670500955263307e-07,1.945391760707621e-07,1.4631378654502016e-07,1.291626421674568e-07
n=1641600,5.513377919935245e-07,3.002760584009519e-07,1.9012323008407432e-07,1.4276332655514268e-07,1.2519726224216458e-07
n=1728000,5.410688230830839e-07,2.942836294100917e-07,1.8600712434172745e-07,1.3945394079807888e-07,1.2149995062321362e-07
n=1814400,5.314633523468897e-07,2.886783829815114e-07,1.8215696824523642e-07,1.3635838093014065e-07,1.1804154090353458e-07
n=1900800,5.224498495536e-07,2.834185778424804e-07,1.7854409036726546e-07,1.334535948678295e-07,1.1479721619683217e-07
n=1987200,5.139673136716799e-07,2.784686170062811e-07,1.7514403969443377e-07,1.3071992377813847e-07,1.1174569691130371e-07
n=2073600,5.059633432095427e-07,2.737979217244443e-07,1.7193581216271947e-07,1.2814048020611284e-07,1.0886860835792161e-07
