,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=3600,0.03606563617864422,0.02084896971511796,0.014214449472959245,0.011381776559780121,0.009638418357819534
t=7200,0.057950160137413276,0.03341874229109276,0.02278962720144384,0.018263797216845568,0.01548207832980908
t=10800,0.07671035882278798,0.04413444691137913,0.030093588887832645,0.024128722470593056,0.02046659338915502
t=14400,0.09377043389965767,0.05382970295965728,0.036694859340989705,0.029430452072127578,0.02497488465272224
t=18000,0.10971529500454169,0.06284820332935803,0.04282823479315656,0.034356579235498064,0.029165281149446276
t=21600,0.12485644250295214,0.07137359206494986,0.048619355917914,0.03900754855302124,0.033122590765197524
t=25200,0.13938413079973455,0.07951836708116411,0.05414529011257341,0.04344500702193632,0.036898881665553995
t=28800,0.15342505375510296,0.08735764776739141,0.059457561333275066,0.0477101907645634,0.040528993846741024
t=32400,0.16706879470813085,0.09494468498660646,0.06459273600047721,0.05183237937529217,0.044037672857963894
t=36000,0.18038156101207758,0.10231892785651864,0.06957793259347378,0.055833297419591865,0.04744328443447876
t=39600,0.19341397761176515,0.10951060819149472,0.07443395488133508,0.059729618208226753,0.05075992791484096
t=43200,0.20620581523536785,0.11654352584679906,0.07917719676254098,0.06353448636762171,0.05399872164231678
t=46800,0.2187890130521688,0.12343683184918741,0.0838208624500818,0.06725849340506929,0.05716862669737144
t=50400,0.23118969427205283,0.13020621905974217,0.08837578171146787,0.0709103296730933,0.06027699747694282
t=54000,0.24342955775582364,0.1368647453170566,0.09285097379007468,0.07449723545756592,0.06332996269134772
t=57600,0.255526867248558,0.1434234193252979,0.09725404900871126,0.07802532230084314,0.06633269679833509
t=61200,0.2674971722661419,0.14989162814586576,0.10159150195639799,0.0814998076340876,0.06928961823375679
t=64800,0.2793538448001498,0.15627745585856578,0.10586893015091037,0.08492518980810404,0.0722045373077067
t=68400,0.29110848642454434,0.16258792556638646,0.11009120018592022,0.08830538111663055,0.07508076862046575
t=72000,0.302771242207309,0.16882918622064103,0.1142625760596303,0.09164381056273352,0.07792121792016782
t=75600,0.3143510463077044,0.17500665895812628,0.11838681974239007,0.09494350441088018,0.08072845019375818
t=79200,0.3258558166370493,0.1811251532204221,0.12246727101651311,0.09820715014974146,0.08350474374179595
t=82800,0.3372926109571357,0.18718895997441165,0.1265069116023716,0.10143714787651836,0.08625213362466644
t=86400,0.34866775338110556,0.1932019273409562,0.13050841720767514,0.10463565201240899,0.0889724469379285
t=90000,0.3599869378738363,0.19916752254014525,0.1344742001793513,0.10780460549313786,0.09166733172791042
