,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
n=86400,0.0006662670688451983,0.00026671195224024915,0.0001326950290234214,8.756424251305662e-05,6.468863581877847e-05
n=172800,0.0006644328573160691,0.00026593101225372057,0.00013226737249037637,8.725555573199591e-05,6.444025167069501e-05
n=259200,0.0006633621546267145,0.0002654751463241254,0.0001320177322538063,8.707536290177931e-05,6.429525990114033e-05
n=345600,0.0006626034809716901,0.0002651521309114944,0.0001318408433073202,8.694768268348062e-05,6.419252229073724e-05
n=432000,0.0006620155800748521,0.0002649018242750103,0.0001317037709711567,8.684874249444268e-05,6.411291028247128e-05
n=518400,0.0006615356007732169,0.00026469746669498197,0.00013159186115006417,8.676796486152273e-05,6.404791273554659e-05
n=604800,0.0006611300439673494,0.0002645247954836843,0.00013149730334427372,8.669971208753654e-05,6.399299328916593e-05
n=691200,0.000660778927065979,0.0002643753027867563,0.0001314154385024335,8.66406212224216e-05,6.394544595286387e-05
n=777600,0.0006604693681756499,0.000264243503966498,0.00013134326314004536,8.658852432089918e-05,6.390352629417948e-05
n=864000,0.0006601925759410217,0.00026412565598629017,0.00013127872750413042,8.654194185068082e-05,6.386604381066958e-05
n=950400,0.0006599422825609154,0.00026401909024630646,0.0001312203702222791,8.649981897848271e-05,6.383214973302297e-05
n=1036800,0.0006597138619179888,0.00026392183711547765,0.0001311671126897216,8.646137715654815e-05,6.380121760447782e-05
n=1123200,0.000659503802122591,0.00026383240136001394,0.00013111813609001908,8.642602535494743e-05,6.377277185408436e-05
n=1209600,0.0006593093742047815,0.00026374962108461844,0.00013107280414878048,8.6393304304434e-05,6.374644293184075e-05
n=1296000,0.0006591284154569124,0.00026367257548770724,0.00013103061261879125,8.636285003430354e-05,6.372193796951012e-05
n=1382400,0.0006589591828864531,0.00026360052246699736,0.0001309911551117308,8.633436920938444e-05,6.369902093558356e-05
n=1468800,0.000658800251203112,0.000263532855186165,0.00013095409931330773,8.630762196188324e-05,6.367749882096197e-05
