,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=3600,139.212258873983,6.258357206648459,1.6868643018171796,0.9221725076783969,0.6218765147660477
t=7200,19174.22862158515,51.19453757667116,6.189774970233593,2.6861704764235728,1.6267287036793068
t=10800,2597924.690497065,373.0157937617353,18.20957318928878,6.06283996623709,3.2518667416572775
t=14400,349844751.539905,2673.0420262035313,50.27286938160517,12.525008337143518,5.880072418709255
t=18000,46899152609.95372,19084.947519862017,135.75281837303896,24.888874518282467,10.129974663417196
t=21600,6264621632373.385,136041.86439503412,363.52655478400953,48.53856865496046,17.001388635966048
t=25200,834312012845692.6,968617.9273270038,970.2018518904774,93.76608815730242,28.110093675046045
t=28800,1.108289360970881e+17,6889936.882423624,2585.4731731031907,180.24211220417519,46.06712626780149
t=32400,1.4689558753951955e+19,48968314.61109026,6884.69119570457,345.5572380817835,75.09152010971036
t=36000,1.9431386727960103e+21,347770810.7385583,18324.084728273403,661.5377748484702,122.00012468974268
t=39600,2.5658128133643885e+23,2468207212.0663805,48753.81795924872,1265.409629231801,197.8064732193727
t=43200,3.3825411331191775e+25,17506814028.71009,129679.23762343018,2419.316994166313,320.3033281558877
t=46800,4.452634949102809e+27,124105686628.05757,344844.3963355941,4623.984439057126,518.2338971344196
t=50400,5.853246492999336e+29,879334164595.5022,916805.3558779692,8835.75724263298,838.0286928713052
t=54000,7.684664911269526e+31,6227444695660.201,2436913.7972984896,16881.01077694179,1354.6856441805849
t=57600,1.0077166176461801e+34,44083219656810.37,6476175.600950896,32247.347604227845,2189.3408685931363
t=61200,1.3199868258714363e+36,311929406899145.25,17207505.0451908,61594.05063616882,3537.6433418722077
t=64800,1.7272172795182356e+38,2206325497496631.0,45713318.93477801,117635.4419531064,5715.574766437409
t=68400,2.257854145956944e+40,1.5599927322024716e+16,121421985.56380723,224644.6523947786,9233.437444393125
t=72000,2.948756977433553e+42,1.1026146728053563e+17,322467059.4571565,428958.54989344184,14915.322249837518
t=75600,3.847659667866749e+44,7.790777222492466e+17,856268916.9255542,819026.9985069056,24092.006403430285
t=79200,5.016344199938786e+46,5.503012845093992e+18,2273394578.6030316,1563675.6764584896,38912.40338455343
t=82800,6.534731813658542e+48,3.885878854911936e+19,6035066053.04304,2985124.0722415443,62846.40886751999
t=86400,8.506154501860858e+50,2.7431698468711308e+20,16018959765.666412,5698319.796207792,101496.73587187883
t=90000,1.106414448506076e+53,1.9359587230980791e+21,42514195660.42,10876804.255509019,163909.56661225102
t=93600,1.4381175162297275e+55,1.3659168566065125e+22,112819224699.54762,20759987.422512587,264690.4460489631
t=97200,1.867990989069149e+57,9.634776895172595e+22,299353054229.39685,39620983.82835112,427420.04409507103
t=100800,2.4247672376835684e+59,6.794420273836401e+23,794213968135.1313,75613066.47977275,690168.185756152
t=104400,3.1455054134354445e+61,4.7902736421829763e+24,2106911384700.1326,144292191.2726,1114394.848329636
